Year_,TotalPopulation,TotalPopulationRank,UrbanPopulation,RuralPopulation,Birthrate,DeathRate,GrowthRate,Density
2020,97338579,15,36346227,60992356,16.223,6.418,0.91,313.9245
2019,96462106,15,35332141,61129967,16.584,6.354,0.96,311.0978
2018,95545962,15,34319153,61226806,16.945,6.29,1,308.1432
2017,94600648,15,33311724,61288919,17.013,6.226,1.03,305.0945
2016,93640422,15,32315314,61325121,17.08,6.162,1.04,282.71
2015,92677076,14,31333195,61343887,17.148,6.098,1.05,298.8908
2014,91713848,14,30371041,61342809,17.215,6.034,1.06,276.89
2013,90752592,14,29430158,61322435,17.283,5.97,1.06,273.99
2012,89801926,14,28513908,61288018,17.263,5.915,1.05,271.12
2011,88871380,14,27621226,61250158,17.243,5.86,1.03,268.31
2010,87967651,13,26757122,61210533,17.224,5.804,1.01,283.7025
2009,87092252,13,25920395,61171855,17.204,5.749,0.98,262.94
2008,86243413,13,25120985,61122439,17.184,5.694,0.96,260.37
2007,85419591,13,24347999,61071589,17.114,5.687,0.95,257.89
2006,84617540,13,23598141,61019404,17.044,5.681,0.94,255.46
2005,83832661,13,22870389,60962273,16.973,5.674,0.93,253.1
