Decades,Country Name,Country Code,SP.POP.TOTL,SP.POP.GROW,EN.POP.DNST,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.TFRT.IN,SH.DYN.MORT,SE.PRM.ENRR,AG.LND.FRST.K2,ER.H2O.FWTL.ZS,SP.URB.GROW,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.KD.ZG,IT.CEL.SETS.P2,IT.NET.USER.ZS,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,BX.KLT.DINV.CD.WD
2000,Canada,CAN,30.69,0.9,3.4,877.36,28590.0,1.5,6.0,100.8,3478.0,1.5,1.4,744.77,4.9,4.6,28.5,51.3,70.0,100.0,68303.0
2010,Canada,CAN,34.0,1.1,3.8,1336.63,39310.0,1.6,6.0,98.6,3473.2,1.3,1.3,1617.34,3.1,2.8,75.6,80.3,49.0,115.0,29715.0
2020,Canada,CAN,38.01,1.1,4.2,1751.69,46090.0,1.5,5.0,101.0,3469.3,1.3,1.2,1645.42,-5.2,0.7,95.6,96.5,49.0,100.0,26559.0
2000,China,CHN,1262.65,0.8,134.0,3642.99,2890.0,1.6,37.0,112.3,1770.0,19.6,3.6,1211.35,8.5,2.1,6.6,1.8,39.0,100.0,42095.0
2010,China,CHN,1337.71,0.5,141.9,12325.79,9210.0,1.6,16.0,99.0,2006.1,21.3,3.3,6087.16,10.6,6.9,62.8,34.3,49.0,82.0,243703.0
2020,China,CHN,1410.93,0.2,149.7,24111.0,17090.0,1.7,7.0,103.2,2199.8,21.0,2.1,14722.73,2.3,0.6,117.9,70.6,32.0,92.0,212476.0
2000,India,IND,1056.58,1.8,355.4,2190.69,2070.0,3.3,92.0,94.3,675.9,44.3,2.5,468.39,3.8,3.6,0.3,0.5,20.0,100.0,3584.0
2010,India,IND,1234.28,1.4,415.1,5173.3,4190.0,2.6,58.0,109.1,695.0,44.8,2.5,1675.62,8.5,10.5,60.9,7.5,34.0,93.0,27397.0
2020,India,IND,1380.0,1.0,464.1,8891.69,6440.0,2.2,33.0,99.9,721.6,44.8,2.3,2660.25,-7.3,4.6,83.6,41.0,24.0,105.0,64362.0
2000,Liberia,LBR,2.85,5.4,29.6,2.5,880.0,5.9,190.0,116.3,82.2,0.1,6.1,0.87,2.9,0.7,0.1,0.0,114.0,100.0,21.0
2010,Liberia,LBR,3.89,3.6,40.4,3.62,930.0,5.0,100.0,105.1,79.2,0.1,4.4,2.0,6.1,6.5,40.4,2.3,47.0,134.0,2065.0
2020,Liberia,LBR,5.06,2.4,52.5,6.59,1300.0,4.2,78.0,85.1,76.2,0.1,3.3,3.2,-3.0,-0.6,56.6,22.0,53.0,187.0,87.0
2000,Mexico,MEX,98.9,1.4,50.9,1073.2,10850.0,2.7,28.0,109.0,683.8,17.7,1.8,707.91,4.9,11.2,14.2,5.1,49.0,100.0,18382.0
2010,Mexico,MEX,114.09,1.4,58.7,1719.79,15070.0,2.3,19.0,110.6,669.4,20.2,1.8,1057.8,5.1,4.5,80.1,31.1,58.0,111.0,30529.0
2020,Mexico,MEX,128.93,1.1,66.3,2296.39,17810.0,2.1,14.0,104.7,656.9,21.5,1.4,1073.92,-8.3,2.9,93.4,72.0,76.0,91.0,31049.0
2000,Mozambique,MOZ,17.71,2.7,22.5,8.18,460.0,5.8,170.0,76.2,411.9,0.9,3.3,5.66,1.2,11.5,0.3,0.1,27.0,100.0,139.0
2010,Mozambique,MOZ,23.53,2.7,29.9,21.83,930.0,5.4,105.0,112.5,389.7,1.4,4.3,11.1,6.5,8.0,30.7,4.2,68.0,104.0,1258.0
2020,Mozambique,MOZ,31.26,2.9,39.7,39.21,1250.0,4.8,71.0,118.4,367.4,1.5,4.4,14.02,-1.2,2.5,48.7,15.1,72.0,90.0,3188.0
2000,United States,USA,282.16,1.1,30.8,10383.67,36800.0,2.1,8.0,101.9,3035.4,16.9,1.5,10252.35,4.1,2.2,38.9,43.1,20.0,100.0,349125.0
2010,United States,USA,309.33,0.8,33.8,15172.07,49050.0,1.9,7.0,99.5,3087.2,15.2,1.0,14992.05,2.6,1.2,92.3,71.7,22.0,97.0,264039.0
2020,United States,USA,329.48,0.4,36.0,21286.64,64610.0,1.7,6.0,101.0,3098.0,15.8,0.6,20953.03,-3.4,1.2,134.5,89.4,18.0,100.0,211298.0
2000,Vietnam,VNM,79.91,1.1,256.9,156.53,1960.0,2.0,30.0,109.5,117.8,21.1,3.4,31.17,6.8,3.4,1.0,0.3,97.0,100.0,1298.0
2010,Vietnam,VNM,87.97,1.0,283.7,356.51,4050.0,1.9,23.0,105.7,133.9,22.8,3.2,115.93,6.4,12.1,126.8,30.7,135.0,127.0,8000.0
2020,Vietnam,VNM,97.34,0.9,313.9,793.5,8150.0,2.1,21.0,117.2,146.4,22.8,2.8,271.16,2.9,1.3,142.7,70.3,201.0,137.0,15800.0
2000,South Africa,ZAF,44.97,1.4,37.1,374.17,8320.0,2.7,72.0,101.5,177.8,28.6,2.3,151.75,4.2,9.2,18.5,5.3,39.0,100.0,969.0
2010,South Africa,ZAF,51.22,1.5,42.2,648.44,12660.0,2.6,52.0,104.7,174.1,30.5,2.3,417.37,3.0,6.1,98.4,24.0,45.0,141.0,3693.0
2020,South Africa,ZAF,59.31,1.3,48.9,779.11,13140.0,2.4,32.0,98.4,170.5,43.3,2.0,335.44,-6.4,5.3,161.8,68.2,51.0,165.0,3200.0
