event_id,Event,Country Name,Country Code,Start Date,End Date,Start Month,End Month,Start Year,End Year,Description,Outcome
0,Province wide strike,Canada,CAN,21,21,2,2,2020,2020,Ontario teachers held a one-day province wide strike,Promoted human rights 
1,A series of shootings and arson attacks,Canada,CAN,18,19,4,4,2020,2020,A series of shootings and arson attacks takes place in various Nova Scotia locations,23 people were killed
2,Indigenous people's status,Canada,CAN,11,11,5,5,2018,2018,United Nations announces it is concerned Canada is not doing enough for Indigenous people's status,Concerned on human right issue
3,British Columbia pipeline bombings,Canada,CAN,1,31,10,7,2018,2019,bombed after letters were sent to a local newspaper opposing the gas industry,People injured
4,Montreal shooting,Canada,CAN,4,4,9,9,2012,2012,"Richard Bain, an anglophone Quebecer, attempted to assassinate Parti Québécois leader and Premier elect Pauline Marois at a victory gathering in Montreal",Was sentenced to life imprisonment with the possibility of parole after 20 years
5,Shootings at Parliament Hill,Canada,CAN,22,22,10,10,2014,2014,"Michael Zehaf-Bibeau, a convert to Islam, fatally shoots Corporal Nathan Cirillo, a Canadian soldier on ceremonial sentry duty at the National War Memorial",Shot 31 times and dies at the scene
6,Immigrants in 2019,Canada,CAN,1,31,1,12,2019,2019,"Canada admitted 341,180 permanent residents",More diversed 
7,2018 Memorial Cup,Canada,CAN,18,27,5,5,2018,2018,"2018 Memorial Cup, was held at the Brandt Centre in Regina, Saskatchewan",Maintained positive sport culture
8,Canada-China Free Trade Agreements,Canada,CAN,2,2,6,6,2017,2017,Trading with China,More trading benefits
9,4th gold in the 2010 Winter Olympics,Canada,CAN,28,28,2,2,2010,2010,Canada wins its 14th gold in the 2010 Winter Olympics making it the most gold ever won by one country,Showed ability of participating big events
10,A flood in a coal mine in Fushun,China,CHN,10,10,3,3,2007,2007,"A flood in a coal mine in Fushun, a city near Shenyang in the province of Liaoning in China",More than 80 people dead and missing
11,Typhoon Kaemi,China,CHN,27,27,7,7,2006,2006,A rare nature disaster in 2006,Led fast economic grouth
12,The Qingzang railway launches a trial operation,China,CHN,1,1,7,7,2006,2006,Making Tibet the last province-level entity of China to have a conventional railway,Enhanced economic connections
13,2008 Summer Olympics,China,CHN,8,24,8,8,2008,2008,An international multisport event ,Developed positive persecptives from other countries
14,The construction of the Three Gorges Dam wall,China,CHN,20,20,5,5,2006,2006,"The largest dam in the world, is completed in the People's Republic of China",Improved transportation conviniency
15,Air Pollution Report,China,CHN,1,31,1,12,2016,2016,84 out of 338 prefecture-level. ranking below a province and above a county or higher cities attained the national standard for air quality,Damaged citizen's health condition
16,PM2.5 Concentrations Report,China,CHN,1,31,1,12,2013,2017,The average PM2.5 concentrations fell by 33% in 74 cities,Improved serious air pollution
17,Electronic Waste Report,China,CHN,1,31,1,12,2011,2011,Produced 2.3 million tons of electronic waste,Degraded living condition
18,Communist Party of China general secretary Xi Jinping visits Wuhan,China,CHN,10,10,3,3,2020,2020,To understand the situation and comfort anxious peoples,Patients were well organized with minimum panics
19, Anti-Japanese demonstrations in China,China,CHN,11,11,4,4,2005,2005,"20,000 protesters marching in two cities in southern Guangdong province objecting to a recently amended Japanese schoolbook which allegedly glosses over Japan's imperialist past",Enhanced strength national spririt
20,First nuclear submarine,India,IND,26,26,7,7,2009,2009,"India launches its first nuclear submarine, the INS Arihant",Developed stronger military strength
21,"Of the 30 most polluted cities in the world, 21 were in India",India,IND,1,31,1,12,2016,2016,At least 140 million people in India breathe air that is 10 times or more over the WHO safe limit,Serious Air Pollution
22,Gas leak,India,IND,7,7,5,5,2020,2020,"A gas leak at a chemical plant in Visakhapatnam, Andhra Pradesh",13 people were killed
23,Samjhauta Express bombings,India,IND,18,18,2,2,2007,2007,A terrorist attack,Passegners were killed or injured
24,Fifth-generation stealth fighter jets,India,IND,24,24,1,1,2007,2007,India and Russia agree to jointly develop fifth-generation stealth fighter jets.,Developed stronger military strength
25,Indian farmers' protest,India,IND,9,11,8,12,2020,2020,Protest against three farm acts that were passed by the Parliament of India,Gained supports on farmer's right
26,Nandigram violence,India,IND,1,31,1,11,2007,2007,"Clashes between opposition parties, the governing Communist Party of India (Marxist) and police in Nandigram, West Bengal","On 14 March, 14 villagers were killed in police firing"
27,ICoAT 2020 : 1st International conference on Applied Science & Technology,India,IND,21,22,3,3,2020,2020,To present the research from different areas of science and technology,Exchanged innovative ideas
28,Emitter of Carbon Dioxide Report,India,IND,1,31,1,12,2009,2009,India contributed some 5 percent of human-sourced carbon dioxide emission,Twenty people die and 9 are missing
29,Muzaffarnagar riots,India,IND,27,17,8,9,2013,2013,The clashes between the Hindu and Muslim communities,Tons of innocent people died
30,GDP Grouth in 2020,Liberia,LBR,1,31,1,12,2020,2020,Real GDP was estimated to contract by 3.1% in 2020,Economical improvement
31,Liberia's last known ebola patient ,Liberia,LBR,5,5,3,3,2015,2015,Liberia's last known ebola patient is discharged from a treatment center in Monrovia,"Proofed ability of medical, environmental improvement"
32,The results of the 2020 Liberian constitutional referendum,Liberia,LBR,1,1,4,4,2020,2020,Voters reject efforts to shorten the president′s term and to allow dual citizenship,Victory of democracy
33,Life expectancy 2012,Liberia,LBR,1,31,1,12,2012,2012,Estimated to be 57.4 years,Conclued low level economic development
34,Education 2011,Liberia,LBR,1,31,1,12,2010,2010,The literacy rate of Liberia was estimated at 60.8%,Education for gender is inbalanced
35,National Independence Day,Liberia,LBR,26,26,7,7,2011,2011,Proclaimed by President Ellen Johnson Sirleaf,Gained confident for the whole nation
36,A second rebel group,Liberia,LBR,1,31,3,3,2003,2003,launching attacks against Taylor from the southeast,Peace talks between the factions
37,"Liberian general election, 2017",Liberia,LBR,10,10,10,10,2017,2017,"scheduled date for the Liberian general election, 2017",Representation of democracy in the country
38,Liberian Refugee Immigration Fairness program (LRIF),Liberia,LBR,28,28,12,12,2020,2020,"The United States extends the Liberian Refugee Immigration Fairness program (LRIF) until December 20, 2021",Exposed the underdevelopment of the country
39,Prohibit and criminalize same-sex marriages,Liberia,LBR,12,12,7,7,2012,2012,Enact legislation to prohibit and criminalize same-sex marriages,Both male and female homosexuality are illegal in Liberia
