health_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Country Name,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,Mozambique,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa
Country Code,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,LBR,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF
SH.DYN.AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,35000,35000,34000,34000,34000,34000,34000,34000,33000,33000,33000,32000,32000,32000,32000,190000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000,320000,330000,340000,1100000,1100000,1200000,1200000,1300000,1300000,1400000,1500000,1500000,1600000,1700000,1700000,1800000,1800000,1900000,1900000,,,,,,960000,980000,1000000,1000000,1100000,1100000,1100000,1100000,1200000,1200000,,170000,180000,190000,190000,200000,210000,210000,220000,220000,230000,230000,240000,240000,240000,240000,240000,4400000,4600000,4800000,5000000,5200000,5500000,5700000,5900000,6200000,6400000,6600000,6800000,7000000,7200000,7300000,7500000
SH.HIV.INCD.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,930,890,780,750,660,560,520,550,530,500,500,500,500,500,500,500,700,620,550,500,500,500,500,500,500,500,500,500,500,500,500,33000,33000,26000,27000,25000,29000,24000,18000,17000,16000,16000,16000,14000,14000,13000,13000,,,,,,,,,,,,,,,,,720,650,600,550,500,500,500,500,500,500,500,500,500,500,500,500,72000,73000,72000,68000,58000,45000,34000,31000,26000,23000,17000,14000,15000,12000,11000,12000
SH.DYN.AIDS.DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3300,3200,3100,2900,2600,2400,2400,2300,2300,2300,2100,1700,1500,1300,6300,6700,6400,6300,6300,6400,6500,6400,5800,6000,5900,5000,4500,5000,4400,4300,70000,73000,71000,65000,62000,65000,65000,65000,64000,57000,50000,46000,44000,41000,39000,38000,,,,,,,,,,,,,,,,,9400,9600,9000,8000,6600,6000,5900,5700,5400,5100,4900,4400,4300,4000,3900,3800,250000,270000,250000,220000,190000,160000,150000,120000,110000,99000,93000,90000,88000,86000,84000,83000
SH.XPD.CHEX.GD.ZS,9.03540611,9.34210205,9.44500446,9.60709858,10.71716499,10.69585419,10.40052414,10.50637913,10.40513706,10.24852657,10.73320484,11.02296066,10.83538342,10.80637455,10.84447765,,4.17605114,3.94742227,3.67491436,3.90000153,4.3495841,4.23068333,4.34274435,4.56584787,4.71490669,4.77790594,4.93827963,4.97955608,5.06592178,5.16790485,5.3502779,,3.79116249,3.63477802,3.51754165,3.51468062,3.48537874,3.27211905,3.24634194,3.32935309,3.74944162,3.61956549,3.59565997,3.50430417,2.93597651,2.95175385,3.0141468,,9.68472099,8.4906292,10.79883385,9.01321793,9.40705395,8.94644737,9.4238615,8.7670517,8.28010082,9.20679283,10.63758373,9.85343266,9.09297276,9.03880787,8.47005749,,5.83612156,5.65525532,5.76644516,5.69886971,6.12978458,5.73688889,5.51883602,5.66522121,5.80923605,5.55341005,5.72277403,5.55345869,5.45759058,5.37870932,5.43305254,,4.39079046,4.10098362,3.94103193,4.23261261,5.21038246,5.44726419,5.00311899,5.24640608,6.12555981,6.33231783,6.7166338,7.17241096,7.75916147,8.09185696,7.83351135,,14.60504532,14.71834183,14.93882084,15.2670145,16.23350334,16.25922203,16.1985054,16.17543411,16.06451797,16.25333214,16.52407265,16.84432411,16.80583572,16.68710518,16.76706314,,4.01387453,4.24659586,4.30235815,4.05425787,4.16906261,4.69927359,4.6128521,5.00178242,5.07556248,4.6127553,4.56543732,4.51853609,4.71283436,5.03448868,5.24965572,,7.68997431,7.6922164,7.68138409,7.88024807,8.52350235,8.66596985,8.74146175,8.77310753,8.85552406,8.55091476,8.79018974,8.82142925,8.72262383,8.85829735,9.10935497,
SH.STA.BRTW.ZS,5.969686,6.013186,6.0473971,6.0756211,6.10115189999999,6.12729639999999,6.1573453,6.19460389999999,6.2423706,6.30393839999999,6.3826098,,,,,,5.3692503,5.29528429999999,5.2336621,5.17608309999999,5.1282582,5.08467719999999,5.0536532,5.0232329,4.9961615,4.9725003,4.95258329999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96676249999999,7.9384661,7.8895159,7.86269279999999,7.8812718,7.9263449,7.9596453,7.95157049999999,7.9232655,7.89522079999999,7.8687429,,,,,,15.164915,14.9543149999999,14.7962469999999,14.628863,14.4969959999999,14.370187,14.2540739999999,14.136127,14.022202,13.92365,13.8186529999999,,,,,,8.15003399999999,8.18139359999999,8.1905003,8.18201919999999,8.1606035,8.13091949999999,8.09761619999999,8.0653591,8.0388079,8.02261449999999,8.0214396,,,,,,8.64161299999999,8.5801048,8.54085539999999,8.51039789999999,8.4848251,8.45375349999999,8.41513439999999,8.36257269999999,8.3109894,8.260457,8.2114124,,,,,,14.643753,14.565262,14.4915819999999,14.425127,14.370346,14.332271,14.295928,14.272092,14.247887,14.231211,14.205164,,,,,
SH.MED.BEDS.ZS,3.1,3.02,2.96,2.85,2.8,2.78,2.8,2.79,2.72,2.67,2.62,2.6,2.53,2.55,2.52,,1.84,1.91,1.99,2.13,2.29,2.47,2.69,3.01,3.29,3.55,3.79,4.02,4.31,,,,0.41,0.42,0.41,0.41,0.44,0.47,0.63,0.49,0.49,0.52,0.58,0.48,0.53,,,,,,,,0.7,0.8,,,,,,,,,,,1.05,1.02,1.06,1.03,1.02,1.05,1.04,1.03,1.03,1.03,1,1,0.99,0.98,,,,0.8,0.8,,,,0.7,,,,,,,,,,3.2,3.18,3.14,3.13,3.08,3.05,2.97,2.93,2.89,2.83,2.8,2.77,2.87,,,,2.34,2.66,,2.9,3.1,2.91,,2.5,3.18,2.6,,,,,,,2.8,,2.41,2.39,,2.3,,,,,,,,,,
SN.ITK.DEFC,,,,,,,,,,,,,,,,,94300000,82000000,67900000,53600000,38300000,,,,,,,,,,,,247800000,228800000,207200000,199000000,199000000,197200000,195000000,189900000,193200000,193300000,192300000,187600000,184900000,189900000,208600000,,1200000,1200000,1200000,1200000,1200000,1300000,1400000,1500000,1500000,1600000,1600000,1700000,1700000,1800000,1900000,,4700000,4400000,4500000,4900000,5400000,5700000,5700000,5600000,5100000,5300000,6100000,7100000,7700000,7800000,9200000,,6800000,6800000,6500000,6400000,5900000,5700000,5300000,5200000,5700000,6800000,8000000,8800000,9000000,9100000,9500000,,,,,,,,,,,,,,,,,,13000000,12900000,12100000,11100000,10300000,9700000,8900000,8400000,7900000,7800000,7500000,7300000,6800000,6500000,6500000,,1600000,1700000,1700000,1800000,1800000,1800000,1900000,2100000,2300000,2600000,2900000,3000000,3100000,3200000,3800000,
