Year,C.NAME,C.CODE,SH.H2O.BASW.UR.ZS,SH.H2O.BASW.RU.ZS,SH.STA.HYGN.ZS,SH.STA.BASS.ZS,SH.H2O.SMDW.UR.ZS,SH.STA.SMSS.ZS,SH.STA.ANVC.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.ZS,SH.H2O.SMDW.ZS,HD.HCI.OVRL.FE,HD.HCI.OVRL.MA
2005,Canada,CAN,99.48998183,98.20544302,,99.80519484,,78.8857635,,7.01700019836426,6.46600008010864,6.76000022888184,98.24079534,,
2006,Canada,CAN,99.47343153,98.26651823,,99.75033789,,79.28068911,,6.52199983596802,6.09200000762939,6.32000017166138,98.29946776,,
2007,Canada,CAN,99.45688123,98.32759343,,99.69595411,,79.67517216,100,6.38399982452393,5.65299987792969,6.03999996185303,98.35997369,,
2008,Canada,CAN,99.44033093,98.38866864,,99.6414571,,80.06894984,,6.57200002670288,5.65199995040894,6.1399998664856,98.41990954,,
2009,Canada,CAN,99.42378064,98.44974385,,99.5868457,,80.46202275,,9.53299999237061,7.00500011444092,8.34000015258789,98.47926264,,
2010,Canada,CAN,99.40723034,98.51081905,,99.53213067,,80.85439848,,8.79399967193604,7.24300003051758,8.0600004196167,98.53806358,0.786082327365875,0.762514710426331
2011,Canada,CAN,99.39068004,98.57189426,,99.47721571,,81.24600912,,7.95900011062622,7.00899982452393,7.51000022888184,98.59599042,,
2012,Canada,CAN,99.37412975,98.63296946,,99.42171918,,81.636549,,7.71600008010864,6.81699991226196,7.28999996185303,98.65168006,,
2013,Canada,CAN,99.35757945,98.69404467,,99.36619078,,82.02636889,,7.49700021743774,6.59700012207031,7.07000017166138,98.70725106,,
2014,Canada,CAN,99.34102915,98.75511987,,99.31064352,,82.41547978,,7.37799978256226,6.38899993896484,6.90999984741211,98.76270793,,
2015,Canada,CAN,99.32447885,98.81619508,,99.25507123,,82.80387768,,7.46199989318848,6.29199981689453,6.90999984741211,98.81806216,,
2016,Canada,CAN,99.30792856,98.87727028,,99.19947682,,83.1915656,,7.68100023269653,6.24100017547607,7,98.87330686,,
2017,Canada,CAN,99.29137826,98.93834549,,99.14388406,,83.5785755,,6.7810001373291,5.85099983215332,6.34000015258789,98.92850562,0.808,0.79
2018,Canada,CAN,99.27482796,98.99942069,,99.08828896,,83.97367373,,6.13899993896484,5.48899984359741,5.82999992370605,98.98362633,0.810381829738617,0.790175378322601
2019,Canada,CAN,99.25827766,99.0604959,,99.03268117,,84.36813002,,6.03000020980835,5.25,5.65999984741211,99.03861451,,
2020,Canada,CAN,99.25827766,99.0604959,,99.03286158,,84.36839322,,9.52600002288818,9.38599967956543,9.46000003814697,99.03894727,0.81040757894516,0.785041689872742
2005,China,CHN,98.20965513,74.27908842,,66.05295978,89.65755289,21.15726769,89.8,5,3.92199993133545,4.51999998092651,,,
2006,China,CHN,98.14091735,75.30718421,,68.04807496,89.56814321,23.71607541,89.7,4.90000009536743,3.84299993515015,4.42999982833862,,,
2007,China,CHN,98.07212127,76.33348314,,70.00602318,89.47873353,26.41296376,90.9,4.80999994277954,3.77300000190735,4.34999990463257,,,
2008,China,CHN,98.0032669,77.35798522,,71.93309059,89.38932384,29.25110684,91,5.07399988174438,3.98000001907349,4.59000015258789,,,
2009,China,CHN,97.93435423,78.38069045,,73.82713823,89.29991416,32.22411192,92.2,5.21700000762939,4.09100008010864,4.71999979019165,,,
2010,China,CHN,97.86538326,79.40159883,,75.68896974,89.21050447,35.32940402,94.1,5.00500011444092,3.92600011825562,4.53000020980835,,,
2011,China,CHN,97.796354,80.42071035,,77.50550515,90.00160011,38.5387437,93.7,5.02799987792969,3.94400000572205,4.55000019073486,,,
2012,China,CHN,97.72726644,81.43802502,,79.28464962,90.79092904,41.85739972,95,5.05100011825562,3.96199989318848,4.57000017166138,,,
2013,China,CHN,97.65812058,82.45354284,,81.03184692,91.57849125,45.29026847,95.6,5.07399988174438,3.98000001907349,4.59000015258789,,,
2014,China,CHN,97.58891642,83.46726381,,82.74794313,92.36428675,48.83494578,96.2,5.09700012207031,3.99799990653992,4.6100001335144,,,
2015,China,CHN,97.51965397,84.47918792,,84.43258668,93.14831553,52.48634689,96.5,5.11999988555908,4.01599979400635,4.63000011444092,,,
2016,China,CHN,97.45033321,85.48931518,,86.08596623,93.93057761,56.24054077,96.6,5.01100015640259,3.9300000667572,4.53000020980835,,,
2017,China,CHN,97.38095417,86.49764558,,87.70748822,94.71107296,60.09072637,,4.91300010681152,3.8529999256134,4.44000005722046,,0.674,0.657
2018,China,CHN,97.31151682,87.50417914,,89.29564155,95.23318067,64.02449293,99.6,4.73699998855591,3.71499991416931,4.28000020980835,,0.65461403131485,0.640095114707947
