population_id,Years,Country Name,Country Code,SH.DTH.IMRT,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZG,SP.URB.TOTL.IN.ZS,SP.URB.GROW,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.DPND,SH.STA.SUIC.FE.P5,SH.STA.SUIC.MA.P5
0,2005,Canada,CAN,1800.0,19.878,0.557844254173616,80.122,1.04061858829188,82.6,77.9,50.4250440542598,49.5749559457402,44.495093004083,6.2,18.2
1,2006,Canada,CAN,1825.0,19.787,0.551491248878675,80.213,1.12384675481251,82.7,78.1,50.4150905888848,49.5849094111152,44.2369943174355,5.7,16.9
2,2007,Canada,CAN,1845.0,19.604,0.0419781487099549,80.396,1.19901884209158,82.9,78.3,50.4044557685291,49.5955442314709,44.0347757280595,6.1,17.0
3,2008,Canada,CAN,1860.0,19.422,0.150191983656897,80.578,1.30902990520455,83.0,78.5,50.3948210128144,49.6051789871856,43.9339025932817,6.1,17.1
4,2009,Canada,CAN,1869.0,19.242,0.210657043137183,80.758,1.36489394771959,83.3,78.8,50.3884108895213,49.6115891104787,43.9767531768617,5.9,18.1
5,2010,Canada,CAN,1871.0,19.063,0.177253215195272,80.937,1.33326871439499,83.5,79.1,50.3864843544046,49.6135156455953,44.1799447904124,6.4,17.8
6,2011,Canada,CAN,1866.0,18.904,0.141129967876975,81.096,1.17495264216968,83.6,79.4,50.3897373751692,49.6102626248308,44.6476337433392,6.1,16.5
7,2012,Canada,CAN,1855.0,18.863,0.868694356405575,81.137,1.13636233305053,83.8,79.6,50.3970917384501,49.6029082615499,45.1391853894768,6.2,17.5
8,2013,Canada,CAN,1839.0,18.822,0.838999350897815,81.178,1.1071099946107,83.9,79.7,50.4058089554683,49.5941910445317,45.7069754663487,6.4,17.9
9,2014,Canada,CAN,1820.0,18.782,0.792587517646634,81.218,1.05460141956621,83.9,79.8,50.4123054239784,49.5876945760216,46.3805411151733,6.8,18.7
10,2015,Canada,CAN,1799.0,18.741,0.527807559356073,81.259,0.796807975480466,84.0,79.9,50.4141265575823,49.5858734424177,47.156455788445,6.9,19.2
11,2016,Canada,CAN,1777.0,18.7,0.913336125759693,81.3,1.18279215486163,84.0,79.9,50.4105660284427,49.5894339715573,47.8263144313975,6.2,17.6
12,2017,Canada,CAN,1757.0,18.65,0.931952478221833,81.35,1.26116200732881,84.0,79.9,50.4025621628782,49.5974378371218,48.6160760670676,6.4,19.8
13,2018,Canada,CAN,1736.0,18.589,1.08492803121353,81.411,1.48750598693977,84.2,80.0,50.3915299543153,49.6084700456847,49.481877289781,6.2,17.9
