name,start_month,end_month,start_year,end_year,place,description,outcome
Communist Party of China general secretary Xi Jinping visits Wuhan,3,3,2020,2020,China,To understand the situation and comfort anxious peoples,Patients were well organized with minimum panics
Electronic Waste Report,1,12,2011,2011,China,Produced 2.3 million tons of electronic waste,Degraded living condition
Air Pollution Report,1,12,2016,2016,China,84 out of 338 prefecture-level. ranking below a province and above a county or higher cities attained the national standard for air quality,Damaged citizen's health condition
PM2.5 Concentrations Report,1,12,2013,2017,China,The average PM2.5 concentrations fell by 33% in 74 cities,Improved serious air pollution
 Anti-Japanese demonstrations in China,4,4,2005,2005,China,"20,000 protesters marching in two cities in southern Guangdong province objecting to a recently amended Japanese schoolbook which allegedly glosses over Japan's imperialist past",Enhanced strength national spririt
The construction of the Three Gorges Dam wall,5,5,2006,2006,China,"The largest dam in the world, is completed in the People's Republic of China",Improved transportation conviniency
2008 Summer Olympics,8,8,2008,2008,China,An international multisport event ,Developed positive persecptives from other countries
The Qingzang railway launches a trial operation,7,7,2006,2006,China,Making Tibet the last province-level entity of China to have a conventional railway,Enhanced economic connections
Typhoon Kaemi,7,7,2006,2006,China,A rare nature disaster in 2006,Led fast economic grouth
A flood in a coal mine in Fushun,3,3,2007,2007,China,"A flood in a coal mine in Fushun, a city near Shenyang in the province of Liaoning in China",More than 80 people dead and missing
Emitter of Carbon Dioxide Report,1,12,2009,2009,India,India contributed some 5 percent of human-sourced carbon dioxide emission,Twenty people die and 9 are missing
ICoAT 2020 : 1st International conference on Applied Science & Technology,3,3,2020,2020,India,To present the research from different areas of science and technology,Exchanged innovative ideas
Indian farmers' protest,8,12,2020,2020,India,Protest against three farm acts that were passed by the Parliament of India,Gained supports on farmer's right
Nandigram violence,1,11,2007,2007,India,"Clashes between opposition parties, the governing Communist Party of India (Marxist) and police in Nandigram, West Bengal","On 14 March, 14 villagers were killed in police firing"
Muzaffarnagar riots,8,9,2013,2013,India,The clashes between the Hindu and Muslim communities,Tons of innocent people died
Fifth-generation stealth fighter jets,1,1,2007,2007,India,India and Russia agree to jointly develop fifth-generation stealth fighter jets.,Developed stronger military strength
First nuclear submarine,7,7,2009,2009,India,"India launches its first nuclear submarine, the INS Arihant",Developed stronger military strength
Samjhauta Express bombings,2,2,2007,2007,India,A terrorist attack,Passegners were killed or injured
Gas leak,5,5,2020,2020,India,"A gas leak at a chemical plant in Visakhapatnam, Andhra Pradesh",13 people were killed
