SeriesName,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Adults (ages 15+) living with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,Children (ages 0-14) newly infected with HIV,AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),AIDS estimated deaths (UNAIDS estimates),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Current health expenditure (% of GDP),Low-birthweight babies (% of births),Low-birthweight babies (% of births),Low-birthweight babies (% of births),Low-birthweight babies (% of births),Low-birthweight babies (% of births),Low-birthweight babies (% of births),Low-birthweight babies (% of births),Low-birthweight babies (% of births),Low-birthweight babies (% of births),"Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)","Hospital beds (per 1,000 people)",Number of people who are undernourished,Number of people who are undernourished,Number of people who are undernourished,Number of people who are undernourished,Number of people who are undernourished,Number of people who are undernourished,Number of people who are undernourished,Number of people who are undernourished,Number of people who are undernourished,"Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)","Physicians (per 1,000 people)",Children (0-14) living with HIV,Children (0-14) living with HIV,Children (0-14) living with HIV,Children (0-14) living with HIV,Children (0-14) living with HIV,Children (0-14) living with HIV,Children (0-14) living with HIV,Children (0-14) living with HIV,Children (0-14) living with HIV,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Children orphaned by HIV/AIDS,Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),Domestic general government health expenditure (% of general government expenditure),"Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)","Mortality caused by road traffic injury (per 100,000 people)",Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Capital health expenditure (% of GDP),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),Prevalence of overweight (% of adults),"Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)"
Country,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa,China,Canada,Mexico,Mozambique,India,United States,Vietnam,Liberia,South Africa
2005,NULL,NULL,190000,1100000,NULL,NULL,170000,35000,4400000,NULL,NULL,500,33000,NULL,NULL,720,970,72000,NULL,NULL,6300,70000,NULL,NULL,9400,3600,250000,4.17605114,9.03540611,5.83612156,4.39079046,3.79116249,14.60504532,4.01387453,9.68472099,7.68997431,5.3692503,5.969686,7.9667625,15.164915,NULL,8.150034,8.641613,NULL,14.643753,1.84,3.1,1.05,NULL,0.41,3.2,2.34,NULL,2.8,94300000,NULL,4700000,6800000,247800000,NULL,13000000,1200000,1600000,NULL,9.9467,2.2053,0.3304,1.2907,9.9177,0.831,NULL,NULL,1.2127,NULL,3.5303,NULL,0.5885,NULL,0.6139,NULL,NULL,NULL,NULL,1900,130000,NULL,NULL,2600,5600,250000,NULL,NULL,100000,470000,NULL,NULL,44000,28000,1100000,1.36797976,6.59905815,2.46497631,1.48580933,0.76303685,6.62940884,1.47417974,0.57326448,3.07617569,7.48882437,17.13103867,11.1423254,8.39700031,3.03288698,17.93713951,7.14737988,4.48662376,10.91880608,20.8,9.5,15.6,32.3,15.9,15.7,24.6,36.5,38.1,0.29475251,0.4640432,0.12093282,NULL,0.16114938,0.65363973,0.37509301,NULL,0.15926108,24.1,58.6,58.9,21.1,14.2,61.9,12.2,24.9,46.5,6.6,9.9,7.2,7.3,3,7.8,2.9,4.9,12
2006,NULL,NULL,190000,1100000,NULL,NULL,180000,35000,4600000,NULL,NULL,700,33000,NULL,NULL,650,930,73000,NULL,NULL,6700,73000,NULL,NULL,9600,3600,270000,3.94742227,9.34210205,5.65525532,4.10098362,3.63477802,14.71834183,4.24659586,8.4906292,7.6922164,5.2952843,6.013186,7.9384661,14.954315,NULL,8.1813936,8.5801048,NULL,14.565262,1.91,3.02,1.02,0.8,0.42,3.18,2.66,NULL,NULL,82000000,NULL,4400000,6800000,228800000,NULL,12900000,1200000,1700000,NULL,10.0236,2.2215,0.3383,NULL,NULL,0.8797,NULL,NULL,1.247,1.9086,3.762,0.026,0.6012,NULL,0.6239,NULL,NULL,NULL,NULL,2200,140000,NULL,NULL,2800,5600,270000,NULL,NULL,110000,540000,NULL,NULL,51000,30000,1300000,1.38712037,6.4866991,2.4219811,1.1874361,0.7453534,6.80890989,1.52994156,0.7014606,3.61328125,7.56382656,16.77815819,10.73125648,5.67257071,2.95240974,18.56849861,7.45082951,6.33025408,13.09509087,20.7,9.1,15.6,32,16.3,15.6,24.5,34.7,41.1,0.29775921,0.48383656,0.11649629,NULL,0.18146034,0.66477114,0.36237505,NULL,0.20123655,24.8,59.2,59.5,21.5,14.6,62.5,12.7,25.4,47.2,6.7,10,7.2,7.1,3,7.8,3,4.5,12.2
2007,NULL,NULL,200000,1200000,NULL,NULL,190000,35000,4800000,NULL,NULL,620,26000,NULL,NULL,600,890,72000,NULL,NULL,6400,71000,NULL,NULL,9000,3300,250000,3.67491436,9.44500446,5.76644516,3.94103193,3.51754165,14.93882084,4.30235815,10.79883385,7.68138409,5.2336621,6.0473971,7.8895159,14.796247,NULL,8.1905003,8.5408554,NULL,14.491582,1.99,2.96,1.06,0.8,0.41,3.14,NULL,NULL,2.41,67900000,NULL,4500000,6500000,207200000,NULL,12100000,1200000,1700000,NULL,10.1208,2.2832,0.3628,NULL,NULL,0.95,NULL,NULL,1.2676,NULL,3.843,NULL,0.6182,NULL,0.6415,NULL,0.6988,NULL,NULL,2400,140000,NULL,NULL,2900,5600,290000,NULL,NULL,110000,610000,NULL,NULL,57000,32000,1400000,1.43417549,6.57271051,2.52675962,1.21582115,0.73512703,6.9233551,1.51937377,0.82155901,3.671134,7.90134954,17.06352234,10.71415234,5.60290384,2.95841479,18.49893951,6.81436205,4.76645851,13.50931835,20.9,8.9,14.1,31.2,16.7,14.9,24.3,33.6,32.4,0.27094328,0.61307919,0.09540497,NULL,0.18110792,0.717116,0.30447453,NULL,0.21638033,25.5,59.7,60.1,22,15.1,63.1,13.1,25.9,47.9,6.8,10.2,7.1,6.8,2.9,7.9,3.2,4.1,12.3
2008,NULL,NULL,210000,1200000,NULL,NULL,190000,34000,5000000,NULL,NULL,550,27000,NULL,NULL,550,780,68000,NULL,NULL,6300,65000,NULL,NULL,8000,3200,220000,3.90000153,9.60709858,5.69886971,4.23261261,3.51468062,15.2670145,4.05425787,9.01321793,7.88024807,5.1760831,6.0756211,7.8626928,14.628863,NULL,8.1820192,8.5103979,NULL,14.425127,2.13,2.85,1.03,NULL,0.41,3.13,2.9,NULL,2.39,53600000,NULL,4900000,6400000,199000000,NULL,11100000,1200000,1800000,NULL,10.289,2.3066,0.3883,NULL,NULL,1.0207,0.2711,NULL,1.3166,1.959,3.8988,NULL,0.6342,NULL,0.6648,0.0141,0.6968,NULL,NULL,2400,140000,NULL,NULL,3000,5500,320000,NULL,NULL,120000,670000,NULL,NULL,62000,33000,1600000,1.73637438,6.70117044,2.61655498,1.24023449,0.79527897,7.25172758,1.52749527,1.36841381,3.73152447,7.70858145,17.28201294,9.43475723,5.6688695,2.97089481,18.20973969,7.14450169,6.33930922,13.01471424,20.5,8,15.4,31.4,17.1,13.4,24.8,33.9,29.5,0.29433993,0.47915494,0.12782037,NULL,0.17476563,0.76118088,0.41245195,NULL,0.21366911,26.2,60.2,60.6,22.5,15.6,63.7,13.6,26.4,48.6,6.9,10.4,7,6.5,2.8,8.1,3.4,3.7,12.5
2009,NULL,NULL,220000,1300000,NULL,NULL,200000,34000,5200000,NULL,NULL,500,25000,NULL,NULL,500,750,58000,NULL,NULL,6300,62000,NULL,NULL,6600,3100,190000,4.3495841,10.71716499,6.12978458,5.21038246,3.48537874,16.23350334,4.16906261,9.40705395,8.52350235,5.1282582,6.1011519,7.8812718,14.496996,NULL,8.1606035,8.4848251,NULL,14.370346,2.29,2.8,1.02,NULL,0.44,3.08,3.1,0.7,NULL,38300000,NULL,5400000,5900000,199000000,NULL,10300000,1200000,1800000,NULL,10.3743,2.3624,0.3949,NULL,NULL,1.1081,0.9041,NULL,1.3922,NULL,3.9581,0.0455,0.6518,NULL,0.6982,0.024,0.7074,NULL,NULL,2500,150000,NULL,NULL,3200,5400,340000,NULL,NULL,120000,730000,NULL,NULL,66000,34000,1700000,2.14862108,7.52118206,2.86067677,1.31463063,0.89261264,7.87523222,1.51122534,0.96264893,4.23951578,8.3752346,17.32163048,10.29211521,4.9652133,3.19391966,18.20336723,6.0510025,4.06426239,13.36997318,20.5,7.2,15.8,31,17,12.1,24.6,33.4,28.6,0.41728342,0.54793304,0.22113964,NULL,0.1732502,0.70491374,0.68118465,NULL,0.2302608,27,60.7,61.2,22.9,16,64.2,14.2,27,49.2,6.9,10.6,7,6.3,2.7,8.2,3.5,3.5,12.6
2010,NULL,NULL,230000,1300000,NULL,960000,210000,34000,5500000,NULL,NULL,500,29000,NULL,NULL,500,660,45000,NULL,NULL,6400,65000,NULL,NULL,6000,2900,160000,4.23068333,10.69585419,5.73688889,5.44726419,3.27211905,16.25922203,4.69927359,8.94644737,8.66596985,5.0846772,6.1272964,7.9263449,14.370187,NULL,8.1309195,8.4537535,NULL,14.332271,2.47,2.78,1.05,NULL,0.47,3.05,2.91,0.8,2.3,NULL,NULL,5700000,5700000,197200000,NULL,9700000,1300000,1800000,NULL,9.3233,2.4118,0.404,NULL,12.5927,1.2327,0.4638,NULL,1.4334,2.0384,3.9972,0.0487,0.6858,NULL,0.71,0.0231,0.7207,NULL,NULL,2500,150000,NULL,NULL,3400,5200,360000,NULL,NULL,130000,790000,NULL,NULL,69000,35000,1700000,2.19598818,7.47694063,2.8809936,1.28007519,0.85750186,7.94476509,1.86173725,0.79593855,4.44811392,8.75092411,17.36239433,10.41033363,4.67241478,3.1116302,18.40460205,7.84861135,3.16610217,14.14495373,20.3,7.3,14.5,30.7,17.2,11.7,25.6,33.1,28.6,0.4144913,0.58610934,0.19516744,NULL,0.17793332,0.68704522,0.42887175,NULL,0.23739788,27.8,61.2,61.7,23.4,16.5,64.8,14.7,27.5,49.9,7,10.8,6.9,6,2.6,8.4,3.7,3.3,12.6
2011,NULL,NULL,240000,1400000,NULL,980000,210000,34000,5700000,NULL,NULL,500,24000,NULL,NULL,500,560,34000,NULL,NULL,6500,65000,NULL,NULL,5900,2600,150000,4.34274435,10.40052414,5.51883602,5.00311899,3.24634194,16.1985054,4.6128521,9.4238615,8.74146175,5.0536532,6.1573453,7.9596453,14.254074,NULL,8.0976162,8.4151344,NULL,14.295928,2.69,2.8,1.04,0.7,0.63,2.97,NULL,NULL,NULL,NULL,NULL,5700000,5300000,195000000,NULL,8900000,1400000,1900000,NULL,9.2368,2.5093,0.3928,NULL,NULL,NULL,NULL,NULL,1.4596,NULL,4.2008,0.0524,0.7376,NULL,NULL,NULL,0.7227,NULL,NULL,2500,160000,NULL,NULL,3600,5000,370000,NULL,NULL,130000,850000,NULL,NULL,71000,36000,1800000,2.33301306,7.30276871,2.91415977,1.27621472,0.93731916,7.92789316,1.78486931,1.51699734,4.53395033,8.60285282,17.56518555,10.51420689,4.34422016,3.38130069,18.8540802,8.40974712,5.04660177,14.68394661,20.7,6.3,14.4,30.4,17.4,11.6,25.3,32.9,27.8,0.39462858,0.55770832,0.11883423,NULL,0.19404872,0.7024169,0.37555271,NULL,0.21746771,28.5,61.7,62.3,23.9,17,65.3,15.3,28.1,50.6,7.1,11,6.8,5.9,2.5,8.5,4,3.3,12.7
2012,NULL,NULL,250000,1500000,NULL,1000000,220000,34000,5900000,NULL,NULL,500,18000,NULL,NULL,500,520,31000,NULL,NULL,6400,65000,NULL,NULL,5700,2400,120000,4.56584787,10.50637913,5.66522121,5.24640608,3.32935309,16.17543411,5.00178242,8.7670517,8.77310753,5.0232329,6.1946039,7.9515705,14.136127,NULL,8.0653591,8.3625727,NULL,14.272092,3.01,2.79,1.03,NULL,0.49,2.93,2.5,NULL,NULL,NULL,NULL,5600000,5200000,189900000,NULL,8400000,1500000,2100000,NULL,9.3473,2.5488,0.4057,NULL,NULL,1.4524,NULL,NULL,1.5367,2.3962,4.2236,0.0546,0.6982,NULL,0.8209,NULL,0.7277,NULL,NULL,2500,150000,NULL,NULL,3800,4800,370000,NULL,NULL,140000,910000,NULL,NULL,73000,37000,1800000,2.54478717,7.4011817,3.00721955,1.26101863,0.93186861,7.90049934,2.09637356,0.87222826,4.5380373,9.03729343,18.08425331,10.65863419,4.38005304,3.43849397,19.63879013,8.93348789,2.83633351,14.46734238,20.3,6.7,14.6,30.4,17.6,11.9,25.4,34,26.5,0.40865192,0.55659932,0.1054229,NULL,0.19756314,0.70865661,0.34329298,0.0560996,0.24273711,29.3,62.2,62.8,24.4,17.5,65.8,15.9,28.6,51.2,7.2,11.2,6.7,5.7,2.4,8.6,4.2,3.2,12.8
2013,NULL,NULL,260000,1500000,NULL,1000000,220000,34000,6200000,NULL,NULL,500,17000,NULL,NULL,500,550,26000,NULL,NULL,5800,64000,NULL,NULL,5400,2400,110000,4.71490669,10.40513706,5.80923605,6.12555981,3.74944162,16.06451797,5.07556248,8.28010082,8.85552406,4.9961615,6.2423706,7.9232655,14.022202,NULL,8.0388079,8.3109894,NULL,14.247887,3.29,2.72,1.03,NULL,0.49,2.89,3.18,NULL,NULL,NULL,NULL,5100000,5700000,193200000,NULL,7900000,1500000,2300000,1.9886,9.4788,2.8044,0.5823,NULL,NULL,0.2867,NULL,1.1881,1.6332,2.4509,4.311,0.0568,0.717,NULL,NULL,NULL,0.7422,NULL,NULL,2500,150000,NULL,NULL,4000,4600,380000,NULL,NULL,140000,970000,NULL,NULL,75000,37000,1800000,2.68986797,7.3582077,3.12253189,1.51853013,0.86504191,7.94619036,2.39113688,0.34224948,4.52993202,9.4168396,18.41361046,11.24126625,4.7125535,3.23883247,20.36961746,9.77689266,1.03217018,14.33796692,19.6,6.3,13.3,30.3,17,11.4,25,34.1,22.8,0.44196987,0.48322916,0.08809453,NULL,0.28407836,0.69361621,0.33090794,NULL,0.20829915,30,62.7,63.3,24.9,18,66.4,16.4,29.2,51.9,7.3,11.3,6.6,5.7,2.3,8.6,4.4,3.3,12.8
