SeriesName,Number of infant deaths,Number of infant deaths,Number of infant deaths,Number of infant deaths,Number of infant deaths,Number of infant deaths,Number of infant deaths,Number of infant deaths,Number of infant deaths,Rural population (% of total population),Rural population (% of total population),Rural population (% of total population),Rural population (% of total population),Rural population (% of total population),Rural population (% of total population),Rural population (% of total population),Rural population (% of total population),Rural population (% of total population),Rural population growth (annual %),Rural population growth (annual %),Rural population growth (annual %),Rural population growth (annual %),Rural population growth (annual %),Rural population growth (annual %),Rural population growth (annual %),Rural population growth (annual %),Rural population growth (annual %),Urban population (% of total population),Urban population (% of total population),Urban population (% of total population),Urban population (% of total population),Urban population (% of total population),Urban population (% of total population),Urban population (% of total population),Urban population (% of total population),Urban population (% of total population),Urban population growth (annual %),Urban population growth (annual %),Urban population growth (annual %),Urban population growth (annual %),Urban population growth (annual %),Urban population growth (annual %),Urban population growth (annual %),Urban population growth (annual %),Urban population growth (annual %),"Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Life expectancy at birth, male (years)","Population, female (% of total population)","Population, female (% of total population)","Population, female (% of total population)","Population, female (% of total population)","Population, female (% of total population)","Population, female (% of total population)","Population, female (% of total population)","Population, female (% of total population)","Population, female (% of total population)","Population, male (% of total population)","Population, male (% of total population)","Population, male (% of total population)","Population, male (% of total population)","Population, male (% of total population)","Population, male (% of total population)","Population, male (% of total population)","Population, male (% of total population)","Population, male (% of total population)",Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),Age dependency ratio (% of working-age population),"Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate, male (per 100,000 male population)"
SeriesCode,SH.DTH.IMRT,SH.DTH.IMRT,SH.DTH.IMRT,SH.DTH.IMRT,SH.DTH.IMRT,SH.DTH.IMRT,SH.DTH.IMRT,SH.DTH.IMRT,SH.DTH.IMRT,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZG,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.TOTL.IN.ZS,SP.URB.GROW,SP.URB.GROW,SP.URB.GROW,SP.URB.GROW,SP.URB.GROW,SP.URB.GROW,SP.URB.GROW,SP.URB.GROW,SP.URB.GROW,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.MA.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL.MA.ZS,SP.POP.DPND,SP.POP.DPND,SP.POP.DPND,SP.POP.DPND,SP.POP.DPND,SP.POP.DPND,SP.POP.DPND,SP.POP.DPND,SP.POP.DPND,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.MA.P5
CountryName,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique,China,Canada,Mexico,United States,India,Vietnam,South Africa,Liberia,Mozambique
CountryCode,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ,CHN,CAN,MEX,USA,IND,VNM,ZAF,LBR,MOZ
2005,330779,1800,44987,27762,1528934,27779,53752,11714,75171,57.478,19.878,23.692,20.072,70.765,72.719,40.464,53.949,70.001,-1.78102663063287,0.557844254173616,0.11167801180592,0.0733898148736528,1.11164776693103,0.103570096727945,-0.0952710831329213,1.95829456438652,2.62966132655677,42.522,80.122,76.308,79.928,29.235,27.281,59.536,46.051,29.999,3.88247297575862,1.04061858829188,1.82420878524429,1.13588459113456,2.72183174211269,3.138936732751,2.1539801080897,3.34778357984003,3.49306061166547,74.845,82.6,77.999,80.1,65.357,78.425,55.927,56.785,52.48,71.297,77.9,72.575,75,63.689,69.722,51.104,54.023,48.207,48.6400637799117,50.4250440542598,51.0997125716447,50.6538020129792,47.9742898249806,50.4590132184995,50.695142781747,50.0019576683735,51.9467108475599,51.3599362200883,49.5749559457402,48.9002874283553,49.3461979870208,52.0257101750194,49.5409867815005,49.304857218253,49.9980423316265,48.0532891524401,38.5730966495374,44.495093004083,59.9032430694131,49.6845677496855,59.9417432429456,50.7083092580125,55.0221735936672,86.0585884562194,93.6805791952635,11.9,6.2,1.4,5.2,13.7,4.4,11.5,3.9,5.5,13.8,18.2,6.9,18.7,17.1,8.2,37.5,5.4,20.2
2006,301922,1825,43211,27585,1463875,27573,54092,11219,73277,56.132,19.787,23.384,19.901,70.431,72.112,39.923,53.604,69.818,-1.81124634089962,0.551491248878675,0.147672580663442,0.108670280303657,1.07259434797976,0.0936714522745695,-0.0823848473151366,2.752443882383,2.55835793157872,43.868,80.213,76.616,80.099,29.569,27.888,60.077,46.396,30.182,3.67472809325703,1.12384675481251,1.8590281344028,1.17796815968651,2.68168577159924,3.13249206701407,2.16821224137716,4.14035899532,3.42829163193342,75.17,82.7,78.035,80.3,65.793,78.532,56.281,57.902,52.771,71.551,78.1,72.532,75.2,64.091,70.005,51.439,54.927,48.422,48.6308718878836,50.4150905888848,51.1080129997953,50.6438964558909,47.9713764389529,50.4300532472314,50.6900633094233,49.9831041048465,51.9054883400028,51.3691281121164,49.5849094111152,48.8919870002047,49.3561035441091,52.0286235610471,49.5699467527686,49.3099366905767,50.0168958951535,48.0945116599972,37.6015877423412,44.2369943174355,59.0717296520398,49.6971103492389,59.2142970399348,49.0750909962303,54.2436216662739,86.3684251774558,94.4818009143919,11.2,5.7,1.3,5.4,13.5,4.3,10.9,4,5.4,13,16.9,6.8,19.1,17.6,8.6,36.6,5.5,20.4
2007,276900,1845,41560,27261,1395098,27499,52751,10812,69854,54.801,19.604,23.08,19.731,70.094,71.496,39.384,53.258,69.636,-1.87748985110646,0.0419781487099549,0.17750313761612,0.0931570901609545,1.02959110790375,0.0854854267226115,-0.067797001639187,3.26101322662765,2.51418955829931,45.199,80.396,76.92,80.269,29.906,28.504,60.616,46.742,30.364,3.51125555182775,1.19901884209158,1.88206292256786,1.16306776101756,2.64248337803077,3.12817318180311,2.18467924143766,4.65148363574409,3.37641883698539,75.508,82.9,78.039,80.6,66.253,78.631,56.994,58.956,53.113,71.788,78.3,72.447,75.5,64.499,70.255,52.038,55.807,48.662,48.622836728759,50.4044557685291,51.1026554489723,50.6367847142009,47.9695239863407,50.3920260069622,50.6840280957364,49.9687022572215,51.8673720439403,51.377163271241,49.5955442314709,48.8973445510277,49.3632152857991,52.0304760136593,49.6079739930378,49.3159719042635,50.0312977427785,48.1326279560597,37.0137663297364,44.0347757280595,58.1309580474287,49.6149866977895,58.4720498786624,47.3089515090807,53.6494995481832,86.641625926493,94.9436378053949,10.4,6.1,1.5,5.5,12.9,4.3,11.5,4.2,5.3,12.5,17,6.7,19.5,17.4,9.1,38,5.6,20.5
2008,255258,1860,40080,26788,1323292,27505,49598,10496,68859,53.461,19.422,22.778,19.562,69.754,70.872,38.846,52.912,69.168,-1.96321561084525,0.150191983656897,0.17824244769517,0.0856572616332229,0.978646728686219,0.0832282948153442,-0.0413363480887665,3.47765248211743,2.07113415387433,46.539,80.578,77.222,80.438,30.246,29.128,61.154,47.088,30.832,3.43395768889026,1.30902990520455,1.88721556631294,1.15618567133535,2.59537148470971,3.12538830541336,2.21775604755682,4.86705036203098,4.27499961605921,75.855,83,78.026,80.6,66.735,78.721,57.995,59.877,53.532,72.017,78.5,72.342,75.6,64.91,70.46,52.853,56.616,48.955,48.6165262827882,50.3948210128144,51.0895438672027,50.6307101023585,47.9689584287207,50.3491396631006,50.6772148969358,49.9567749662335,51.8314333123427,51.3834737172118,49.6051789871856,48.9104561327973,49.3692898976415,52.0310415712793,49.6508603368994,49.3227851030642,50.0432250337665,48.1685666876573,36.7435137159405,43.9339025932817,57.1493140441834,49.5214275340227,57.7057029109493,45.5839567854293,53.2064451662069,86.861162270843,95.1474788752111,9.8,6.1,1.7,5.6,12.6,4.3,12.9,4.1,5.9,12.3,17.1,7.1,20,17.3,9.6,40.9,5.5,21.6
2009,235984,1869,38731,26200,1248851,27543,44926,10253,67337,52.12,19.242,22.48,19.394,69.413,70.238,38.313,52.555,68.672,-2.04298504800307,0.210657043137183,0.159842847415204,0.0141332145804876,0.920523000240269,0.0808148950751252,0.00994917029705168,3.29707497770825,2.0172838507203,47.88,80.758,77.52,80.606,30.587,29.762,61.687,47.445,31.328,3.33810246782671,1.36489394771959,1.86191341992348,1.08529029428822,2.53169655052216,3.13265579508138,2.2593302979005,4.72936260102143,4.33287388907636,76.208,83.3,78.004,80.9,67.231,78.805,59.218,60.642,54.048,72.244,78.8,72.233,76,65.32,70.616,53.833,57.338,49.327,48.6125454435536,50.3884108895213,51.0767972218211,50.6233481370269,47.9699486506169,50.3070893219546,50.6697058322369,49.9446875693403,51.7964187198113,51.3874545564464,49.6115891104787,48.9232027781789,49.3766518629731,52.0300513493831,49.6929106780454,49.3302941677631,50.0553124306597,48.2035812801887,36.6013371826769,43.9767531768617,56.222624132686,49.5258139285031,56.8825138062336,44.1451249836188,52.8348716179234,86.857835141704,95.1890902149596,9.3,5.9,1.8,5.7,12.4,4.2,13,3.9,6.6,12,18.1,7.5,20,16.5,9.7,40.9,5.7,23
2010,218492,1871,37469,25530,1173533,27608,40694,10084,68240,50.774,19.063,22.185,19.228,69.07,69.583,37.782,52.187,68.17,-2.13347423873235,0.177253215195272,0.117173388078255,-0.0300018427486857,0.854969605672736,0.0632084435021062,0.0596329017177781,2.88748367135874,2.00995756108725,49.226,80.937,77.815,80.772,30.93,30.417,62.218,47.813,31.83,3.25536549409244,1.33326871439499,1.81796631467998,1.03534480069191,2.46548884731456,3.17705703308049,2.31239696005493,4.36280409346828,4.33336078205203,76.566,83.5,77.979,81,67.73,78.883,60.565,61.258,54.694,72.476,79.1,72.135,76.2,65.723,70.725,54.906,57.978,49.816,48.6112967751381,50.3864843544046,51.0699139449979,50.6131890528633,47.9726175647712,50.2699418325974,50.6618558650691,49.9301914473537,51.7614232830308,51.3887032248619,49.6135156455953,48.9300860550021,49.3868109471367,52.0273824352288,49.7300581674026,49.3381441349309,50.0698085526463,48.2385767169692,36.489722882657,44.1799447904124,55.402253858528,49.6705152177703,55.9862600938871,43.0966424878352,52.4919378734517,86.4857443266283,95.1082658542478,8.7,6.4,1.7,5.8,12.9,4.2,12.3,3.9,6.9,11.7,17.8,7.5,20.5,16.3,9.8,37.3,5.9,23.5
2011,202048,1866,36250,24844,1100313,27660,38338,9965,65859,49.489,18.904,21.889,19.056,68.724,68.92,37.254,51.807,67.664,-2.01694146016743,0.141129967876975,0.0515758490797851,-0.17176717755585,0.786312981908638,0.0647146460784078,0.11716683233515,2.45804063357964,2.00428837460429,50.511,81.096,78.111,80.944,31.276,31.08,62.746,48.193,32.336,3.12337717694482,1.17495264216968,1.7744572453399,0.93950541093758,2.40095729462256,3.17838542242755,2.36956213449542,3.98045226351195,4.3265063907493,76.926,83.6,77.952,81.1,68.218,78.957,61.935,61.763,55.503,72.72,79.4,72.056,76.3,66.115,70.796,55.993,58.561,50.461,48.6130617995767,50.3897373751692,51.0703185020177,50.5996033795709,47.9770561075532,50.2391107130727,50.6535056436978,49.9131039969174,51.7265488372093,51.3869382004233,49.6102626248308,48.9296814979823,49.4003966204291,52.0229438924468,49.7608892869273,49.3464943563022,50.0868960030826,48.2734511627907,36.5541919260221,44.6476337433392,54.6101018846974,49.8697526247428,55.2086374217727,42.4592478640743,52.4754103527718,86.162140019907,95.1167530249046,8.1,6.1,2,6,12.8,4.3,11,4,7.2,11,16.5,8.6,20.9,16.3,10.1,34.1,6,23.9
