Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Canada,CAN,..,..,..,..,..,0.786082327365875,..,..,..,..,..,..,0.808,0.810381829738617,..,0.81040757894516
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Mexico,MEX,..,..,..,..,..,0.604089438915253,..,..,..,..,..,..,0.62,0.627252817153931,..,0.626666724681854
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,United States,USA,..,..,..,..,..,0.704651892185211,..,..,..,..,..,..,0.757,0.730934500694275,..,0.720416069030762
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Vietnam,VNM,..,..,..,..,..,0.680296421051025,..,..,..,..,..,..,..,0.725250840187073,..,0.727666437625885
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,0.451,0.491595357656479,..,0.500491142272949
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,0.674,0.65461403131485,..,0.659177899360657
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,South Africa,ZAF,..,..,..,..,..,0.4383764564991,..,..,..,..,..,..,0.408,0.443053871393204,..,0.445561945438385
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,0.325,0.322331607341766,..,0.323783546686172
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Canada,CAN,..,..,..,..,..,0.762514710426331,..,..,..,..,..,..,0.79,0.790175378322601,..,0.785041689872742
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Mexico,MEX,..,..,..,..,..,0.574441850185394,..,..,..,..,..,..,0.595,0.596356928348541,..,0.599544823169708
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,United States,USA,..,..,..,..,..,0.678875505924225,..,..,..,..,..,..,0.726,0.697446584701538,..,0.684286594390869
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Vietnam,VNM,..,..,..,..,..,0.634341835975647,..,..,..,..,..,..,..,0.652676463127136,..,0.654776275157928
