Event,Country Name,Start Date,End Date,Start Month,End Month,Start Year,End Year,Description,Outcome
Communist Party of China general secretary Xi Jinping visits Wuhan,China,10th,10th,March,March,2020,2020,To understand the situation and comfort anxious peoples,Patients were well organized with minimum panics
Electronic Waste Report,China,1st,31st,January,December,2011,2011,Produced 2.3 million tons of electronic waste,Degraded living condition
Air Pollution Report,China,1st,31st,January,December,2016,2016,84 out of 338 prefecture-level. ranking below a province and above a county or higher cities attained the national standard for air quality,Damaged citizen's health condition
PM2.5 Concentrations Report,China,1st,31st,January,December,2013,2017,The average PM2.5 concentrations fell by 33% in 74 cities,Improved serious air pollution
 Anti-Japanese demonstrations in China,China,11th,11th,April,April,2005,2005,"20,000 protesters marching in two cities in southern Guangdong province objecting to a recently amended Japanese schoolbook which allegedly glosses over Japan's imperialist past",Enhanced strength national spririt
The construction of the Three Gorges Dam wall,China,20th,20th,May,May,2006,2006,"The largest dam in the world, is completed in the People's Republic of China",Improved transportation conviniency
2008 Summer Olympics,China,8th,24th,August,August,2008,2008,An international multisport event ,Developed positive persecptives from other countries
The Qingzang railway launches a trial operation,China,1st,1st,July,July,2006,2006,Making Tibet the last province-level entity of China to have a conventional railway,Enhanced economic connections
Typhoon Kaemi,China,27th,27th,July,July,2006,2006,A rare nature disaster in 2006,Led fast economic grouth
A flood in a coal mine in Fushun,China,10th,10th,March,March,2007,2007,"A flood in a coal mine in Fushun, a city near Shenyang in the province of Liaoning in China",More than 80 people dead and missing
Emitter of Carbon Dioxide Report,India,1st,31st,January,December,2009,2009,India contributed some 5 percent of human-sourced carbon dioxide emission,Twenty people die and 9 are missing
ICoAT 2020 : 1st International conference on Applied Science & Technology,India,21st,22nd,March,March,2020,2020,To present the research from different areas of science and technology,Exchanged innovative ideas
Indian farmers' protest,India,9th,11th,August,December,2020,2020,Protest against three farm acts that were passed by the Parliament of India,Gained supports on farmer's right
Nandigram violence,India,1st,31st,January,November,2007,2007,"Clashes between opposition parties, the governing Communist Party of India (Marxist) and police in Nandigram, West Bengal","On 14 March, 14 villagers were killed in police firing"
Muzaffarnagar riots,India,27th,17th,August,September,2013,2013,The clashes between the Hindu and Muslim communities,Tons of innocent people died
Fifth-generation stealth fighter jets,India,24th,24th,January,January,2007,2007,India and Russia agree to jointly develop fifth-generation stealth fighter jets.,Developed stronger military strength
First nuclear submarine,India,26th,26th,July,July,2009,2009,"India launches its first nuclear submarine, the INS Arihant",Developed stronger military strength
Samjhauta Express bombings,India,18th,18th,February,February,2007,2007,A terrorist attack,Passegners were killed or injured
Gas leak,India,7th,7th,May,May,2020,2020,"A gas leak at a chemical plant in Visakhapatnam, Andhra Pradesh",13 people were killed
"Of the 30 most polluted cities in the world, 21 were in India",India,1st,31st,January,December,2016,2016,At least 140 million people in India breathe air that is 10 times or more over the WHO safe limit,Serious Air Pollution
Anti-China protest in Hanoi,Vietnam,8th,8th,February,February,2014,2014,"Ballroom dancers and aerobics classes have popped up in the midst of an anti-China protest in Hanoi, in an apparent ploy by the government to break up the event.",Caused tensions between people of two countires
Joining the CPTPP,Vietnam,8th,8th,March,March,2018,2018,Creating convenient conditions for Vietnamese products to enter the markets of trading partners,Massive economical grouth
Bridge collapsions,Vietnam,24th,24th,February,February,2014,2014,A bridge collapses as they are transporting a coffin in Lai Châu Province,Tons of innocent people died
New marriage law goes into effect,Vietnam,1st,1st,January,January,2015,2015,Vietnam’s new marriage law goes into effect. Same-sex marriages are no longer prohibited,Not recognized as being legally valid
Joining the World Trade Organization ,Vietnam,7th,7th,November,November,2006,2006,the General Council at the World Trade Organization (WTO) approved Vietnam's accession package,Massive economical grouth
Establish of Vietnamese Environment Administration ,Vietnam,30th,30th,September,September,2008,2008,The management of environmental issues in Vietnam,Reduced environmental issues
Vietnam marine environment disaster,Vietnam,6th,18th,April,April,2016,2016,A large number of dead fish were found on the coast of Hà Tĩnh and three other provinces,Serious nature disaster
Vietnam's Economy 2019,Vietnam,1st,19th,January,December,2019,2019,Expanding by an estimated 6.8 percent,Massive economical grouth
2016 Summer Olympics,Vietnam,5th,21sr,August,August,2016,2016,"7 athletes from Vietnam competed in the 2016 Summer Olympics in Rio de Janeiro, Brazil",Great achievement in international sport events
APEC Vietnam 2017,Vietnam,6th,11th,November,November,2017,2017,A year-long hosting of Asia-Pacific Economic Cooperation (APEC) meetings in Vietnam,Opened more economical oppotunity
Province wide strike,Canada,21st,21st,February,February,2020,2020,Ontario teachers held a one-day province wide strike,Promoted human rights 
A series of shootings and arson attacks,Canada,18th,19th,April,April,2020,2020,A series of shootings and arson attacks takes place in various Nova Scotia locations,23 people were killed
Indigenous people's status,Canada,11th,11th,May,May,2018,2018,United Nations announces it is concerned Canada is not doing enough for Indigenous people's status,Concerned on human right issue
British Columbia pipeline bombings,Canada,1st,31st,October,July,2018,2019,bombed after letters were sent to a local newspaper opposing the gas industry,People injured
