Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
China,CHN,"Population, total",SP.POP.TOTL,Millions (0.00),1135.19,1262.65,1337.71,1410.93
China,CHN,Population growth (annual %),SP.POP.GROW,Unit (0.0),1.5,0.8,0.5,0.2
China,CHN,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),9600.0,9600.0,9600.0,
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),120.4,134.0,141.9,149.7
China,CHN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,49.8,17.2,0.6
China,CHN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),66.3,40.3,11.2,
China,CHN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),374.17,1181.51,5801.86,14879.88
China,CHN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),330,940,4340,10550
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),1117.59,3642.99,12325.79,24111.00
China,CHN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),980,2890,9210,17090
China,CHN,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),8.3,6.5,5.1,
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),69,71,74,
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),2.3,1.6,1.6,1.7
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),20,10,7,
China,CHN,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),,84,89,
China,CHN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),94,97,100,
China,CHN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),54,37,16,7
China,CHN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),12.6,7.4,3.4,
China,CHN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),98,84,99,
China,CHN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),102,,,
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),127.5,112.3,99.0,103.2
China,CHN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),37,60,88,
China,CHN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),1,,1,1
China,CHN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),,,,
China,CHN,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),1571.4,1770.0,2006.1,2199.8
China,CHN,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),,,,14.6
China,CHN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),18.4,19.6,21.3,21.0
China,CHN,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),4.3,3.6,3.3,2.1
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),767,899,1955,
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Unit (0.00),1.91,2.65,6.33,
