Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
Liberia,LBR,"Population, total",SP.POP.TOTL,Millions (0.00),2.08,2.85,3.89,5.06
Liberia,LBR,Population growth (annual %),SP.POP.GROW,Unit (0.0),-1.5,5.4,3.6,2.4
Liberia,LBR,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),111.4,111.4,111.4,
Liberia,LBR,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),21.6,29.6,40.4,52.5
Liberia,LBR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,63.8,
Liberia,LBR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),,,71.4,
Liberia,LBR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),,,1.78,2.89
Liberia,LBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),,,460,570
Liberia,LBR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),,2.50,3.62,6.59
Liberia,LBR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),,880,930,1300
Liberia,LBR,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),,,6.5,
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),46,52,60,
Liberia,LBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),6.5,5.9,5.0,4.2
Liberia,LBR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),170,149,140,
Liberia,LBR,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),,10,,25
Liberia,LBR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),,51,,84
Liberia,LBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),264,190,100,78
Liberia,LBR,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),,22.8,16.6,10.9
Liberia,LBR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),,63,65,
Liberia,LBR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),,,,
Liberia,LBR,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),,116.3,105.1,85.1
Liberia,LBR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),,36,,
Liberia,LBR,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),,1,,
Liberia,LBR,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),1.5,2.6,1.7,1.1
Liberia,LBR,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),85.3,82.2,79.2,76.2
Liberia,LBR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),,,,1.2
Liberia,LBR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),0.1,0.1,0.1,0.1
