Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
United States,USA,"Population, total",SP.POP.TOTL,Millions (0.00),249.62,282.16,309.33,329.48
United States,USA,Population growth (annual %),SP.POP.GROW,Unit (0.0),1.1,1.1,0.8,0.4
United States,USA,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),9629.1,9632.0,9831.5,
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),27.3,30.8,33.8,36.0
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,,
United States,USA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),0.5,0.7,1.0,1.0
United States,USA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),6006.22,10147.42,15199.62,21261.52
United States,USA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),24060,35960,49140,64530
United States,USA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),5902.29,10383.67,15172.07,21286.64
United States,USA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),23640,36800,49050,64610
United States,USA,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),5.6,5.5,5.3,5.2
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),75,77,79,
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),2.1,2.1,1.9,1.7
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),57,46,33,
United States,USA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),71,,76,
United States,USA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),99,99,99,
United States,USA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),11,8,7,6
United States,USA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),0.8,1.1,1.0,0.4
United States,USA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),90,91,92,
United States,USA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),,,,
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),106.0,101.9,99.5,101.0
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),91,,,
United States,USA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),1,,,
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),,,0.5,0.4
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),3024.5,3035.4,3087.2,3098.0
United States,USA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),,,,26.3
United States,USA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),16.6,16.9,15.2,15.8
United States,USA,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),1.4,1.5,1.0,0.6
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),7672,8057,7161,
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Unit (0.00),19.41,20.47,17.43,
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),11713,13671,13395,
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),5963.14,10252.35,14992.05,20953.03
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),1.9,4.1,2.6,-3.4
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),3.7,2.2,1.2,1.2
United States,USA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),,1,1,
United States,USA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),,22,19,
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),9,11,12,10
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),11,14,16,13
United States,USA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Unit (0),22,24,19,21
United States,USA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Unit (0.0),18.2,20.6,16.5,17.6
United States,USA,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Unit (0.0),-3.7,2.2,-10.0,-15.5
United States,USA,Time required to start a business (days),IC.REG.DURS,Unit (0),,,,
United States,USA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Unit (0.0),145.6,191.6,218.9,280.5
United States,USA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Unit (0.0),10.5,13.0,8.6,10.0
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Unit (0.0),5.6,3.1,4.9,3.7
United States,USA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Unit (0.0),2.1,38.9,92.3,134.5
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,Unit (0.0),0.8,43.1,71.7,89.4
United States,USA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Unit (0),,,23,19
United States,USA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,Unit (0),,,,
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Unit (0),15,20,22,18
United States,USA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Unit (0),103,100,97,100
United States,USA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Millions (0),,,,
United States,USA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Unit (0.0),,,,
United States,USA,Net migration,SM.POP.NETM,Thousands (0),,,,
