Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
Vietnam,VNM,"Population, total",SP.POP.TOTL,Millions (0.00),67.99,79.91,87.97,97.34
Vietnam,VNM,Population growth (annual %),SP.POP.GROW,Unit (0.0),2.1,1.1,1.0,0.9
Vietnam,VNM,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),331.0,329.2,331.0,
Vietnam,VNM,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),208.9,256.9,283.7,313.9
Vietnam,VNM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,20.7,6.7
Vietnam,VNM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),52.3,37.0,4.0,1.8
Vietnam,VNM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),8.53,30.20,110.30,257.93
Vietnam,VNM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),130,380,1250,2650
Vietnam,VNM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),58.38,156.53,356.51,793.50
Vietnam,VNM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),860,1960,4050,8150
Vietnam,VNM,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),7.8,7.5,6.5,6.7
Vietnam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),71,73,75,
Vietnam,VNM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),3.6,2.0,1.9,2.1
Vietnam,VNM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),31,29,34,
Vietnam,VNM,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),,74,78,
Vietnam,VNM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),,59,,
Vietnam,VNM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),52,30,23,21
