Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
South Africa,ZAF,"Population, total",SP.POP.TOTL,Millions (0.00),36.80,44.97,51.22,59.31
South Africa,ZAF,Population growth (annual %),SP.POP.GROW,Unit (0.0),2.4,1.4,1.5,1.3
South Africa,ZAF,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),1219.1,1219.1,1219.1,
South Africa,ZAF,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),30.3,37.1,42.2,48.9
South Africa,ZAF,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,53.2,
South Africa,ZAF,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),31.5,34.8,16.2,
South Africa,ZAF,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),105.18,153.70,352.43,356.59
South Africa,ZAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),2860,3420,6880,6010
South Africa,ZAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),251.36,374.17,648.44,779.11
South Africa,ZAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),6830,8320,12660,13140
South Africa,ZAF,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),2.9,3.1,2.5,
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),63,56,58,
South Africa,ZAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),4.0,2.7,2.6,2.4
South Africa,ZAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),96,70,70,
South Africa,ZAF,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),57,,,
South Africa,ZAF,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),,,,
South Africa,ZAF,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),61,72,52,32
South Africa,ZAF,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),,9.8,8.8,5.5
South Africa,ZAF,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),79,72,72,
South Africa,ZAF,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),,81,,
South Africa,ZAF,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),104.8,101.5,104.7,98.4
South Africa,ZAF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),69,81,94,
South Africa,ZAF,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),1,1,1,
South Africa,ZAF,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),0.6,12.1,17.7,19.1
South Africa,ZAF,Forest area (sq. km),AG.LND.FRST.K2,Thousands (0.0),181.4,177.8,174.1,170.5
South Africa,ZAF,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,Unit (0.0),,,,10.3
South Africa,ZAF,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Unit (0.0),29.3,28.6,30.5,43.3
South Africa,ZAF,Urban population growth (annual %),SP.URB.GROW,Unit (0.0),3.4,2.3,2.3,2.0
South Africa,ZAF,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Unit (0),2472,2425,2768,
South Africa,ZAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Unit (0.00),6.73,6.33,8.30,
South Africa,ZAF,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),4239,4580,4543,
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),115.55,151.75,417.37,335.44
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),-0.3,4.2,3.0,-6.4
South Africa,ZAF,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),15.5,9.2,6.1,5.3
South Africa,ZAF,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),4,3,2,3
South Africa,ZAF,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),36,28,25,23
South Africa,ZAF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),23,24,26,28
South Africa,ZAF,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),18,22,25,23
South Africa,ZAF,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Unit (0),19,15,18,13
South Africa,ZAF,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Unit (0.0),25.5,23.1,25.3,29.4
South Africa,ZAF,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Unit (0.0),-3.4,-1.7,-3.6,-5.2
South Africa,ZAF,Time required to start a business (days),IC.REG.DURS,Unit (0),,,45,
South Africa,ZAF,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Unit (0.0),94.8,133.5,157.7,142.4
South Africa,ZAF,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Unit (0.0),23.1,21.0,22.5,24.2
South Africa,ZAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Unit (0.0),3.9,1.4,1.1,1.1
South Africa,ZAF,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Unit (0.0),0.0,18.5,98.4,161.8
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,Unit (0.0),0.0,5.3,24.0,68.2
South Africa,ZAF,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Unit (0),,,6,6
South Africa,ZAF,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,Unit (0),,,82,81
South Africa,ZAF,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Unit (0),36,39,45,51
South Africa,ZAF,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Unit (0),104,100,141,165
South Africa,ZAF,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Millions (0),,26669,108429,170767
South Africa,ZAF,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Unit (0.0),,10.2,5.6,28.2
South Africa,ZAF,Net migration,SM.POP.NETM,Thousands (0),,,,
