Year_,TotalPopulation,TotalPopulationRank,UrbanPopulation,RuralPopulation,Birthrate,DeathRate,GrowthRate,Density
2020,5057681,123,2634493,2423184,32.687,7.381,2.44,45.413316
2019,4937374,123,2548426,2388948,32.687,7.381,2.46,44.3330699
2018,4818973,123,2464954,2354022,33.042,7.538,2.48,43.269938
2017,4702226,123,2383887,2318337,33.426,7.729,2.52,42.2216575
2016,4586787,125,2305044,2281744,33.843,7.957,2.56,41.1851217
2015,4472230,125,2228064,2244165,34.297,8.213,2.59,40.1565053
2014,4359506,125,2153466,2206042,34.789,8.485,2.62,39.1443477
2013,4248334,125,2081048,2167289,35.316,8.763,2.72,38.1461255
2012,4135659,125,2009229,2126433,35.872,9.046,2.94,37.1344078
2011,4017443,125,1936128,2081318,36.451,9.338,3.24,36.0729371
2010,3891356,128,1860575,2030782,37.053,9.662,3.66,34.940792
2009,3754133,128,1781147,1972982,37.674,10.044,4.05,33.7086558
2008,3607860,128,1698871,1908992,38.309,10.501,4.22,32.395259
2007,3461911,128,1618166,1843745,38.95,11.036,3.99,31.0847715
2006,3329211,128,1544621,1784590,39.588,11.637,3.45,29.8932477
2005,3218116,133,1481974,1736140,40.213,12.276,2.63,28.895717
