SeriesName,SeriesCode,CountryName,CountryCode,2005[YR2005],2006[YR2006],2007[YR2007],2008[YR2008],2009[YR2009],2010[YR2010],2011[YR2011],2012[YR2012],2013[YR2013],2014[YR2014],2015[YR2015],2016[YR2016],2017[YR2017],2018[YR2018],2019[YR2019],2020[YR2020]
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,China,CHN,NULL,NULL,NULL,NULL,NULL,92.7112274169922,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95.1593322753906,NULL,NULL
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Canada,CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Mexico,MEX,90.2104110717773,89.8345108032227,91.3555526733398,91.45361328125,92.1162490844727,91.8534164428711,92.3382797241211,93.1792373657227,92.903938293457,93.5913391113281,93.4854965209961,93.9685211181641,94.1657562255859,94.6080474853516,NULL,94.4951324462891
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Mozambique,MOZ,NULL,NULL,NULL,NULL,36.452278137207,NULL,NULL,NULL,NULL,NULL,43.0624618530273,NULL,50.2951393127441,NULL,NULL,NULL
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,India,IND,NULL,50.8237609863281,NULL,NULL,NULL,NULL,59.2773208618164,NULL,NULL,NULL,NULL,NULL,NULL,65.7908096313477,NULL,NULL
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,United States,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Vietnam,VNM,NULL,NULL,NULL,NULL,91.3790893554688,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94.5656585693359,NULL
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Liberia,LBR,NULL,NULL,27.0349102020264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.0922584533691,NULL,NULL,NULL
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,South Africa,ZAF,NULL,NULL,87.043098449707,NULL,91.7681579589844,91.7139892578125,92.0478897094727,92.5862503051758,NULL,93.0730590820313,93.4080276489258,NULL,86.4586334228516,NULL,94.5331726074219,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,China,CHN,NULL,NULL,NULL,NULL,NULL,97.4794616699219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98.4665374755859,NULL,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Canada,CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Mexico,MEX,93.1904067993164,93.9011993408203,94.4415130615234,94.5921630859375,94.9165725708008,94.3839416503906,94.7827682495117,95.3916320800781,95.1121063232422,95.6204681396484,95.5493316650391,95.8448181152344,95.8723678588867,96.2329025268555,NULL,96.0587463378906
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Mozambique,MOZ,NULL,NULL,NULL,NULL,67.3546981811523,NULL,NULL,NULL,NULL,NULL,70.7583923339844,NULL,72.5994491577148,NULL,NULL,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,India,IND,NULL,75.1919021606445,NULL,NULL,NULL,NULL,78.8772277832031,NULL,NULL,NULL,NULL,NULL,NULL,82.3667068481445,NULL,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,United States,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Vietnam,VNM,NULL,NULL,NULL,NULL,95.7853317260742,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96.9906997680664,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Liberia,LBR,NULL,NULL,60.7748107910156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.6965599060059,NULL,NULL,NULL
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,South Africa,ZAF,NULL,NULL,90.7175903320313,NULL,94.1214599609375,94.1438522338867,94.2450866699219,94.9637222290039,NULL,95.2868499755859,95.3965301513672,NULL,87.6777496337891,NULL,95.5453720092773,NULL
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,China,CHN,NULL,NULL,NULL,NULL,NULL,95.1244812011719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96.8408889770508,NULL,NULL
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Canada,CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Mexico,MEX,91.6302719116211,91.7345199584961,92.7951736450195,92.9255981445313,93.4418792724609,93.0689392089844,93.5199813842773,94.228401184082,93.9628524780273,94.5558776855469,94.472282409668,94.859619140625,94.9727783203125,95.3799133300781,NULL,95.2478485107422
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Mozambique,MOZ,NULL,NULL,NULL,NULL,50.5838088989258,NULL,NULL,NULL,NULL,NULL,56.0390014648438,NULL,60.6554298400879,NULL,NULL,NULL
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,India,IND,NULL,62.7544708251953,NULL,NULL,NULL,NULL,69.3025588989258,NULL,NULL,NULL,NULL,NULL,NULL,74.3729934692383,NULL,NULL
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,United States,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
