CSI4142 - Project 2022,,,,,,
Phase 3- OLAP and BI Dashboard,,,,,,
Teamwork - breakdown of duties,,,,,,
,,,,,,
,,,,,,
Deliverable checklist,Responsible,Expected completion date,Actual completion date,Estimated ,Actual ,Notes (if any)
,team member(s) ,,,time (hours) to complete,time (hours) to complete,
OLAP queries,,,,,,
"Drill down, roll up",,,,,,
Slice,,,,,,
Dice,,,,,,
Composite OLAP - 4 queries,,,,,,
Icebergs,,,,,,
Windowing - partition,,,,,,
Window,,,,,,
,,,,,,
BI dashboard,,,,,,
Design of data mart,,,,,,
Importing data,,,,,,
OLAP queries ,,,,,,
Figures,,,,,,
,,,,,,
Other tasks - please specify,,,,,,
